Track Name,Artist(s),Album,Release Date,Track URI,Round Name
Particle,Pyramaze,Epitaph,2020-11-13,spotify:track:05YHbhEwlMM9xL4MlG8o2o,Recent Favs
Promises,Justin Park,I Can See The Stars From Here,2022-05-13,spotify:track:0F2c3dLuOXM6Pcc95wXHmk,Recent Favs
This Year,The Mountain Goats,The Sunset Tree,2005-04-25,spotify:track:0s9aeZriwqyBYfxFzsd20R,Recent Favs
When It Lands,Rainbow Kitten Surprise,"How to: Friend, Love, Freefall",2018-04-06,spotify:track:16ro1is6DmDKkarlJMBbzV,Recent Favs
Still Have Room,Hockey Dad,Still Have Room,2023-10-30,spotify:track:1CqISEsTc9TDUDyfAtJNmc,Recent Favs
A Planet Called Lies,RILTIM,A Planet Called Lies,2022-11-29,spotify:track:1V5UGgTRzDkCgSBqQMUZoE,Recent Favs
Ecstasy,This Is Shit,/// (Deluxe),2021-05-21,spotify:track:1VTgLfh74ClrsJiYW7rcFs,Recent Favs
Decode,Paramore,Decode,2008-11-04,spotify:track:1ZLtE9tSJdaUiIJ9YoKHQe,Recent Favs
Op Shop Lover,"grentperez, Lime Cordiale",Op Shop Lover,2023-09-28,spotify:track:1zXLuKyLq6GW4aueTHs3Bq,Recent Favs
MISERY,Written by Wolves,BURN,2023-11-01,spotify:track:26amk0JMRV1Iun3DOkdefv,Recent Favs
Bad Boy!,Bella Poarch,Bad Boy!,2023-11-10,spotify:track:2RlinrCj73yZ731f2zerOq,Recent Favs
Under The Same Sky,City of the Sun,City of the Sun,2020-06-26,spotify:track:2t7JWNbwOGzKn2GByRaxzL,Recent Favs
Little Numbers,BOY,Mutual Friends (Bonus Track Version),2013-02-26,spotify:track:32UKzfkSMoFSHfcd20l4PW,Recent Favs
I Used To Be Fun,Teen Jesus and the Jean Teasers,I Love You,2023-10-06,spotify:track:3cn3g1pvplVckm1vWtDMVf,Recent Favs
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Recent Favs
