Track Name,Artist(s),Album,Release Date,Track URI,Round Name
California Kids,Weezer,Weezer (White Album),2016-04-01,spotify:track:0UbS4oWIo2nUXeTxsvFaN1,Summer Songs
The Rubberband Man,The Spinners,The Rubberband Man / Now That We're Together,1976,spotify:track:13Mzsb8VzRSZ5w3pM48cn6,Summer Songs
Out Here All Night,Damone,Out Here All Night,2006-01-01,spotify:track:18cf7hEn3BeBBgi0174WZq,Summer Songs
Bummerland,AJR,OK ORCHESTRA,2021-03-26,spotify:track:1N2gWqKHFtPSZ0zgoCr8WK,Summer Songs
Chillin' On The Beach With My Best Friend Jesus Christ,Susto,Chillin' On The Beach With My Best Friend Jesus Christ,2016-06-24,spotify:track:1T24yhUxN8xnqowrAZ0JqE,Summer Songs
Hot Fun in the Summertime,Sly & The Family Stone,Greatest Hits,1970-11-21,spotify:track:4t6NQkpUmvpvLDCkl3XuwA,Summer Songs
oh baby,LCD Soundsystem,american dream,2017-09-01,spotify:track:53PkA8aXiwH4ppa0V0iO7o,Summer Songs
Dynamite,BTS,BE,2020-11-20,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,Summer Songs
The Hermit,Twin Suns,The Suns Up,2021-08-23,spotify:track:5XocfciljGsKtRT2JDgWdZ,Summer Songs
Getaway,"Earth, Wind & Fire",Spirit,1976-09,spotify:track:67J6NR2Tdl0h2epWHcCBBN,Summer Songs
Summer,Calvin Harris,Motion,2014-10-31,spotify:track:6YUTL4dYpB9xZO5qExPf05,Summer Songs
Pablo,Saib,Buena Vista,2017-03-10,spotify:track:00AiyOJFuhxqwsUDS5Cxsy,My Toddler Snorted Cocaine
Raining Tacos,Parry Gripp,Parry Gripp Mega-Party (2008 - 2012),2013-02-26,spotify:track:01apQz7E72krU1k1b4VWs7,My Toddler Snorted Cocaine
Toy Blues,Taisei Iwasaki,TVアニメ「血界戦線」オリジナル・サウンドトラック,2015-07-15,spotify:track:0E0AId0ucTBt52PmKfyar9,My Toddler Snorted Cocaine
Krusty Krab - Trap Remix,Trap Remix Guys,Krusty Krab (Trap Remix),2018-10-01,spotify:track:0gFWBzm1hqmq5fmAGcYd8r,My Toddler Snorted Cocaine
Wax Simulacra,The Mars Volta,The Bedlam in Goliath,2008-01-01,spotify:track:0h15E41qCgeFxEO10Tzyfa,My Toddler Snorted Cocaine
Raconte-Moi Une Histoire,M83,"Hurry Up, We're Dreaming",2011,spotify:track:0SeMmdPt7Ksu1fIAgnPIOG,My Toddler Snorted Cocaine
Stadium Rave,Spongebob Squarepants,SpongeBob's Greatest Hits,2009-07-14,spotify:track:1Ef6RP9JhfkACpYhpLCmFZ,My Toddler Snorted Cocaine
My Own Drum,Ducky,It's Gonna Be Great,2021-12-01,spotify:track:1FtjOSq5IgaLrwh3ylBylN,My Toddler Snorted Cocaine
The Prawn Song,Superorganism,Superorganism,2018-03-02,spotify:track:26xgsmehYgIfX0vnKVN8GD,My Toddler Snorted Cocaine
Knee 1,Philip Glass Ensemble,Glass: Einstein on the Beach,1993-09-28,spotify:track:29rZwcOH5g59wkMKe1N0zv,My Toddler Snorted Cocaine
Lovely City,Calum Bowen,Lovely Planet (Original Game Soundtrack),2014-07-31,spotify:track:2JpSBwBn7pazsn6IgjPYhv,My Toddler Snorted Cocaine
Muffin Man,"Frank Zappa, Captain Beefheart, The Mothers",Bongo Fury (Live),1975-10-02,spotify:track:2KfjGQ3MjL1PlRsf2xUH5s,My Toddler Snorted Cocaine
Cocaine Lion,Ball Park Music,Puddinghead,2014-04-04,spotify:track:3kBN2OQLL4vrQgkMwRdl7q,My Toddler Snorted Cocaine
Cookin By The Book,"Chris Allen Hess, Rian Cunningham, K Enagonio",Cookin By The Book,2019-01-10,spotify:track:4ck3rXiunMCSpFclG6gMq6,My Toddler Snorted Cocaine
Ring Ring (with Rvssian feat. Clever),"Juice WRLD, Rvssian, Clever",Death Race For Love (Bonus Track Version),2019-03-08,spotify:track:4UBKe75v9DYcehHirq4ot4,My Toddler Snorted Cocaine
Drugs,Falling In Reverse,Drugs,2019-04-08,spotify:track:5BkCDt5w0WOGgBgDC7T39i,My Toddler Snorted Cocaine
Meditjin,"Baker Boy, JessB",Gela,2021-10-15,spotify:track:5mHA6UCBRsgjWPRDmZQ8uO,My Toddler Snorted Cocaine
Half Of It,"Abraxis, Seven Lions, Dimibo",Half Of It,2020-06-12,spotify:track:5qjj4GCSAEbnuqPGrWsNpT,My Toddler Snorted Cocaine
Baby Shark,Pinkfong,Pinkfong Animal Songs,2017-07-27,spotify:track:5ygDXis42ncn6kYG14lEVG,My Toddler Snorted Cocaine
Cocaine Country Dancing - Electrophunck Remix,"Paul Cauthen, Electrophunck",Cocaine Country Dancing (Electrophunck Remix),2020-05-15,spotify:track:63tffuSUDBjv3sdTDSTm1w,My Toddler Snorted Cocaine
Tally-Ho,Psychedelic Porn Crumpets,SHYGA! The Sunlight Mound,2021-02-05,spotify:track:63Z34FsBrJyA9oDIrYyDNH,My Toddler Snorted Cocaine
Turn Down for What,"DJ Snake, Lil Jon",Turn Down for What,2013-12-18,spotify:track:67awxiNHNyjMXhVgsHuIrs,My Toddler Snorted Cocaine
We Are Family,The Chipmunks & The Chipettes,Alvin and the Chipmunks: The Squeakquel (Original Motion Picture Soundtrack),2009-12-01,spotify:track:67tpYaBDOoGmkW3s9w8b98,My Toddler Snorted Cocaine
The Flute Tune - Soulpride Remix,"Jaycut, Kolt Siewerts, Soulpride",The Flute Tune (Soulpride Remix),2019-02-01,spotify:track:6FO7xjaaOBT9RDa0GDlyxr,My Toddler Snorted Cocaine
Kickstart My Heart,Mötley Crüe,Dr. Feelgood (Deluxe Version),1989-09-01,spotify:track:6imjJij6aCM0IbbODUzJQn,My Toddler Snorted Cocaine
Crimson Wave,Tacocat,NVM,2014-02-25,spotify:track:6ixncUHZXJpLWbej9oOms2,My Toddler Snorted Cocaine
High You Are,"What So Not, Branchez",High You Are (Remixes),2013-10-08,spotify:track:6zpCJDhdpHPZCcFCJZDqX5,My Toddler Snorted Cocaine
Pete the Cat and His White Shoes (Story Song),Mr. Eric,The Big Silly with Mr.Eric,2006-01-01,spotify:track:7IzUX2HLnUIqE3OKRSp1nz,My Toddler Snorted Cocaine
